Time,Event,Part,Process,Machine
774,Finished,Part0_0,Process5,M5
774,Started,Part4_0,Process9,M9
775,Finished,Part9_0,Process6,M6
775,Started,Part2_0,Process6,M6
778,Finished,Part1_0,Process1,M1
778,Started,Part9_0,Process1,M1
778,Started,Part1_0,Process8,M8
787,Finished,Part3_0,Process0,M0
787,Started,Part8_0,Process0,M0
787,Started,Part3_0,Process5,M5
829,Finished,Part2_0,Process6,M6
851,Finished,Part4_0,Process9,M9
851,Started,Part4_0,Process3,M3
852,Finished,Part9_0,Process1,M1
855,Finished,Part1_0,Process8,M8
855,Started,Part1_0,Process6,M6
864,Finished,Part3_0,Process5,M5
864,Started,Part9_0,Process5,M5
864,Started,Part3_0,Process4,M4
865,Finished,Part8_0,Process0,M0
865,Started,Part2_0,Process0,M0
867,Finished,Part5_0,Process7,M7
867,Started,Part7_0,Process7,M7
868,Finished,Part4_0,Process3,M3
868,Started,Part4_0,Process8,M8
924,Finished,Part3_0,Process4,M4
932,Finished,Part1_0,Process6,M6
932,Started,Part1_0,Process3,M3
938,Finished,Part7_0,Process7,M7
938,Started,Part6_0,Process7,M7
947,Finished,Part4_0,Process8,M8
948,Finished,Part9_0,Process5,M5
948,Finished,Part2_0,Process0,M0
948,Started,Part2_0,Process5,M5
965,Finished,Part6_0,Process7,M7
971,Finished,Part1_0,Process3,M3
985,Finished,Part2_0,Process5,M5
