Time,Event,Part,Process,Machine
851,Finished,Part3_0,Process0,M0
851,Started,Part2_0,Process0,M0
851,Started,Part3_0,Process5,M5
861,Finished,Part4_0,Process9,M9
861,Started,Part4_0,Process3,M3
870,Finished,Part1_0,Process8,M8
878,Finished,Part4_0,Process3,M3
878,Started,Part4_0,Process8,M8
895,Finished,Part5_0,Process7,M7
895,Started,Part7_0,Process7,M7
921,Finished,Part9_0,Process6,M6
921,Started,Part8_0,Process6,M6
921,Started,Part9_0,Process1,M1
928,Finished,Part3_0,Process5,M5
928,Started,Part0_0,Process5,M5
928,Started,Part3_0,Process4,M4
934,Finished,Part2_0,Process0,M0
957,Finished,Part4_0,Process8,M8
966,Finished,Part7_0,Process7,M7
966,Started,Part6_0,Process7,M7
988,Finished,Part3_0,Process4,M4
993,Finished,Part6_0,Process7,M7
995,Finished,Part9_0,Process1,M1
1010,Finished,Part8_0,Process6,M6
1010,Started,Part1_0,Process6,M6
1010,Started,Part8_0,Process9,M9
1023,Finished,Part0_0,Process5,M5
1023,Started,Part2_0,Process5,M5
1052,Finished,Part8_0,Process9,M9
1052,Started,Part8_0,Process0,M0
1060,Finished,Part2_0,Process5,M5
1060,Started,Part9_0,Process5,M5
1087,Finished,Part1_0,Process6,M6
1087,Started,Part1_0,Process3,M3
1126,Finished,Part1_0,Process3,M3
1130,Finished,Part8_0,Process0,M0
1144,Finished,Part9_0,Process5,M5
